Experiment,Site,Date,Sample,Name,Cas9,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel,X_order
2,VEGFAg3 ON,08.09.17,080917_NT_2_VEGFg3_ON_S392_R1_001.fastqwtf-difflib_indels.csv,NT_2,HF1, - - -,0.149031297,0.186289121,3369,414,5368,8,10,7
2,VEGFAg3 ON,08.09.17,080917_NT_3_VEGFg3_ON_S393_R1_001.fastqwtf-difflib_indels.csv,NT_3,HF1, - - -,0.028409091,0.042613636,4085,442,7040,2,3,7
2,VEGFAg3 OT2,08.09.17,080917_C_1_VEGFg3_OT2_S508_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_GFP_1,WT, WT + -,9.00032144,9.418193507,48196,4849,3111,280,293,1
2,VEGFAg3 OT2,08.09.17,080917_C_2_VEGFg3_OT2_S509_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_GFP_2,WT, WT + -,10.06676939,10.47765794,33352,4420,1947,196,204,1
2,VEGFAg3 OT2,08.09.17,080917_C_3_VEGFg3_OT2_S510_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_GFP_3,WT, WT + -,8.683473389,8.923569428,40143,4722,2499,217,223,1
2,VEGFAg3 OT2,08.09.17,080917_C_d2_1_1_VEGFg3_OT2_S511_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_d1_1-1_1,WT, WT + 1,0.91519219,1.098230628,25483,3242,1639,15,18,2
2,VEGFAg3 OT2,08.09.17,080917_C_d2_1_2_VEGFg3_OT2_S512_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_d1_1-1_2,WT, WT + 1,1.094655505,1.159047006,36071,3165,1553,17,18,2
2,VEGFAg3 OT2,08.09.17,080917_C_d2_1_3_VEGFg3_OT2_S513_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_d1_1-1_3,WT, WT + 1,1.090342679,1.246105919,40501,4516,2568,28,32,2
2,VEGFAg3 OT2,08.09.17,080917_C_d2_4_1_VEGFg3_OT2_S514_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_d1_1-4_1,WT, WT + 4,0.681325488,0.743264168,52879,9521,3229,22,24,
2,VEGFAg3 OT2,08.09.17,080917_C_d2_4_2_VEGFg3_OT2_S515_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_d1_1-4_2,WT, WT + 4,0.81814801,1.078467832,46152,6401,2689,22,29,
