Experiment,Days,Ratio_dRNA,Sample,X_lab,WT,NHEJ,HDR,HDR_Percent_Total,Order
2,4,,2xBFPg2_donor-3.fcs,,75.933354,20.826905,3.270595,13.572342,
2,4,,2xBFPg2_donor_d1-1.fcs,,70.062743,23.304452,6.632805,22.155687,
2,4,,2xBFPg2_donor_d1-2.fcs,,68.288646,24.462099,7.216154,22.77952,
2,4,,2xBFPg2_donor_d1-3.fcs,,67.608837,25.048733,7.407407,22.822822,
2,4,0,NT-1.fcs,,99.041714,1.014656,0,0,
2,4,0,NT-2.fcs,,98.739353,1.226576,0.068143,5.26315,
2,4,0,NT-3.fcs,,98.814483,1.185517,0.096123,7.5,
3,4,,BFPg1-1.fcs, + 1 - -,78.468164,21.552343,0.041013,0.189933,
3,4,,BFPg1-2.fcs, + 1 - -,81.608957,18.422144,0.062202,0.336512,
3,4,,BFPg1-3.fcs, + 1 - -,83.774765,16.183525,0.052138,0.321133,
3,4,,BFPg1_donor1-1.fcs, + 1 sym -,83.227947,16.036073,0.839639,4.975429,
3,4,,BFPg1_donor1-2.fcs, + 1 sym -,81.789038,17.53878,0.73423,4.018112,
3,4,,BFPg1_donor1-3.fcs, + 1 sym -,82.55935,16.795085,0.7601,4.329775,
3,4,,BFPg1_donor2-1.fcs, + 1 block -,70.792839,18.823529,10.414322,35.619314,
3,4,,BFPg1_donor2-2.fcs, + 1 block -,74.871214,16.113744,9.107768,36.11111,
3,4,,BFPg1_donor2-3.fcs, + 1 block -,73.59784,16.992106,9.493145,35.843138,
3,4,,BFPg1_donor3-1.fcs, + 1 asym -,79.172684,18.887972,1.980607,9.490857,
3,4,,BFPg1_donor3-2.fcs, + 1 asym -,79.414484,18.818695,1.869543,9.036743,
3,4,,BFPg1_donor3-3.fcs, + 1 asym -,79.908865,18.237365,1.93662,9.599591,
3,4,,BFPg1_donor1_4d3-1.fcs, + 1 sym 3,70.454076,26.945304,2.693498,9.087742,
3,4,,BFPg1_donor1_4d3-2.fcs, + 1 sym 3,71.746522,25.58475,2.668727,9.445659,
3,4,,BFPg1_donor1_4d3-3.fcs, + 1 sym 3,70.332295,27.123572,2.627207,8.830717,
3,4,,BFPg1_donor2_4d3-1.fcs, + 1 block 3,76.342975,16.095041,7.623967,32.142858,
3,4,,BFPg1_donor2_4d3-2.fcs, + 1 block 3,76.252338,15.651632,8.251923,34.52174,
3,4,,BFPg1_donor2_4d3-3.fcs, + 1 block 3,75.800933,15.914982,8.335925,34.373663,
3,4,,BFPg1_donor3_4d3-1.fcs, + 1 asym 3,79.993771,16.196013,3.914037,19.463089,
3,4,,BFPg1_donor3_4d3-2.fcs, + 1 asym 3,81.8276,14.711977,3.564028,19.501133,
3,4,,BFPg1_donor3_4d3-3.fcs, + 1 asym 3,80.327869,15.957668,3.755966,19.052631,
3,4,,NT-1.fcs, - - - -,98.842617,1.178051,0.010334,0.869584,
3,4,,NT-2.fcs, - - - -,99.064838,0.966334,0.010391,1.063861,
3,4,,NT-3.fcs, - - - -,98.548621,1.451379,0.041468,2.77778,
3,7,,BFPg1-1.fcs, + 1 - -,76.289535,23.699851,0.010613,0.044761,
3,7,,BFPg1-2.fcs, + 1 - -,79.691436,20.287573,0.020991,0.10336,
3,7,,BFPg1-3.fcs, + 1 - -,80.439375,19.560625,0,0,
3,7,,BFPg1_donor1-1.fcs, + 1 sym -,80.558705,19.111432,0.329863,1.696713,
3,7,,BFPg1_donor1-2.fcs, + 1 sym -,79.367234,20.215099,0.407226,1.974685,
3,7,,BFPg1_donor1-3.fcs, + 1 sym -,81.179138,18.521954,0.298907,1.588169,
3,7,,BFPg1_donor2-1.fcs, + 1 block -,68.148302,20.573268,11.247274,35.345954,
3,7,,BFPg1_donor2-2.fcs, + 1 block -,72.701776,17.907967,9.359094,34.323809,
3,7,,BFPg1_donor2-3.fcs, + 1 block -,71.49354,18.821705,9.684755,33.973896,
3,7,,BFPg1_donor3-1.fcs, + 1 asym -,78.470846,20.538229,0.990925,4.602712,
3,7,,BFPg1_donor3-2.fcs, + 1 asym -,77.540608,21.459808,0.999584,4.450628,
3,7,,BFPg1_donor3-3.fcs, + 1 asym -,78.459299,20.625845,0.914856,4.247104,
3,7,,BFPg1_donor1_4d3-1.fcs, + 1 sym 3,69.72515,29.365571,0.909279,3.003414,
3,7,,BFPg1_donor1_4d3-2.fcs, + 1 sym 3,71.558768,27.540331,0.890425,3.131908,
3,7,,BFPg1_donor1_4d3-3.fcs, + 1 sym 3,68.846834,30.258917,0.89425,2.870495,
3,7,,BFPg1_donor2_4d3-1.fcs, + 1 block 3,75.762355,16.246057,7.949527,32.855281,
3,7,,BFPg1_donor2_4d3-2.fcs, + 1 block 3,76.012461,15.680166,8.286604,34.575389,
3,7,,BFPg1_donor2_4d3-3.fcs, + 1 block 3,76.214197,16.386467,7.409714,31.138249,
3,7,,BFPg1_donor3_4d3-1.fcs, + 1 asym 3,80.228097,18.07154,1.689995,8.551942,
3,7,,BFPg1_donor3_4d3-2.fcs, + 1 asym 3,81.14214,17.288987,1.568874,8.31947,
3,7,,BFPg1_donor3_4d3-3.fcs, + 1 asym 3,80.587618,17.890871,1.521511,7.837838,
3,7,,NT-1.fcs, - - - -,99.41691,0.572678,0.010412,1.785659,
3,7,,NT-2.fcs, - - - -,99.438494,0.551107,0.010398,1.851809,
3,7,,NT-3.fcs, - - - -,99.406435,0.583151,0.010413,1.754318,
4,4,,BFPg1_noCas9-1.fcs, - 1 - -,98.81169,1.038433,0.181993,14.912252,
4,4,,BFPg1_noCas9-2.fcs, - 1 - -,98.824535,0.951058,0.235093,19.819821,
4,4,,BFPg1_noCas9-3.fcs, - 1 - -,99.000645,0.85966,0.118203,12.08789,
4,4,,Cas9_only-1.fcs, + - - -,99.056907,0.750188,0.192905,20.454504,1
4,4,,Cas9_only-2.fcs, + - - -,99.037227,0.738126,0.21395,22.471946,1
4,4,,Cas9_only-3.fcs, + - - -,99.017172,0.788422,0.194405,19.780185,1
4,4,,BFPg1-1.fcs, + 1 - -,78.418115,21.592616,0.042928,0.198414,2
4,4,,BFPg1-2.fcs, + 1 - -,81.927443,18.072557,0.077899,0.429185,2
4,4,,BFPg1-3.fcs, + 1 - -,84.079435,15.785931,0.134635,0.845667,2
4,4,,BFPg1_d3-1.fcs, + 1 - 3,67.399228,32.600772,0.096484,0.295083,3
4,4,,BFPg1_d3-2.fcs, + 1 - 3,69.907507,30.081738,0.139815,0.462633,3
4,4,,BFPg1_d3-3.fcs, + 1 - 3,70.849898,29.139357,0.096701,0.330759,3
4,4,,BFPg1_donor1-1.fcs, + 1 sym -,83.337014,15.890018,0.850265,5.079155,
4,4,,BFPg1_donor1-2.fcs, + 1 sym -,82.027042,17.291415,0.714521,3.968252,
4,4,,BFPg1_donor1-3.fcs, + 1 sym -,82.862972,16.445653,0.782047,4.539474,
4,4,,BFPg1_donor1_4d3-1.fcs, + 1 sym 3,70.720474,26.647659,2.752495,9.362179,
4,4,,BFPg1_donor1_4d3-2.fcs, + 1 sym 3,71.795435,25.493854,2.721686,9.646053,
4,4,,BFPg1_donor1_4d3-3.fcs, + 1 sym 3,70.654397,26.732561,2.69257,9.150579,
4,4,,BFPg1_donor2-1.fcs, + 1 block -,70.898625,18.633408,10.489287,36.01757,
4,4,,BFPg1_donor2-2.fcs, + 1 block -,74.89703,15.868199,9.310644,36.978045,
4,4,,BFPg1_donor2-3.fcs, + 1 block -,73.55335,16.79117,9.733527,36.696091,
4,4,,BFPg1_donor2_4d3-1.fcs, + 1 block 3,76.535695,15.882678,7.648035,32.502351,
4,4,,BFPg1_donor2_4d3-2.fcs, + 1 block 3,76.70255,15.388102,8.07932,34.427812,
4,4,,BFPg1_donor2_4d3-3.fcs, + 1 block 3,76.048991,15.593105,8.403266,35.018903,
4,4,,BFPg1_donor3-1.fcs, + 1 asym -,79.326767,18.660028,2.045676,9.87977,4
4,4,,BFPg1_donor3-2.fcs, + 1 asym -,79.567438,18.69362,1.869362,9.090909,4
4,4,,BFPg1_donor3-3.fcs, + 1 asym -,80.245262,17.904125,1.906355,9.622962,4
4,4,,BFPg1_donor3_4d3-1.fcs, + 1 asym 3,80.172221,15.913666,4.003579,20.101068,5
4,4,,BFPg1_donor3_4d3-2.fcs, + 1 asym 3,82.186595,14.362057,3.573814,19.925511,5
4,4,,BFPg1_donor3_4d3-3.fcs, + 1 asym 3,80.556788,15.76087,3.726708,19.123505,5
4,4,,donor1-1.fcs, - - sym -,99.142313,0.772978,0.074121,8.749981,
4,4,,donor1-2.fcs, - - sym -,98.909822,0.984335,0.116427,10.576946,
4,4,,donor1-3.fcs, - - sym -,98.972784,0.900138,0.127078,12.371108,
4,4,,donor1_d3-1.fcs, - - sym 3,99.114018,0.833245,0.052737,5.952378,
4,4,,donor1_d3-2.fcs, - - sym 3,99.181374,0.807995,0.021263,2.564099,
4,4,,donor1_d3-3.fcs, - - sym 3,99.043672,0.92445,0.042503,4.39556,
4,4,,donor2-1.fcs, - - block -,99.132459,0.814642,0.063479,7.228958,
4,4,,donor2-2.fcs, - - block -,99.106062,0.828755,0.083807,9.183705,
4,4,,donor2-3.fcs, - - block -,98.857506,1.089601,0.095208,8.035726,
4,4,,donor2_d3-1.fcs, - - block 3,99.026009,0.877662,0.085626,8.88893,
4,4,,donor2_d3-2.fcs, - - block 3,99.124867,0.832444,0.064034,7.142841,
4,4,,donor2_d3-3.fcs, - - block 3,99.185772,0.771373,0.064281,7.692298,
4,4,,donor3-1.fcs, - - asym -,99.245082,0.691122,0.053163,7.142828,
4,4,,donor3-2.fcs, - - asym -,99.219162,0.73863,0.063311,7.89472,
4,4,,donor3-3.fcs, - - asym -,99.126451,0.841589,0.042612,4.819266,
4,4,,donor3_d3-1.fcs, - - asym 3,99.241275,0.71537,0.043356,5.714316,
4,4,,donor3_d3-2.fcs, - - asym 3,99.282271,0.728441,0.021425,2.857177,
4,4,,donor3_d3-3.fcs, - - asym 3,99.214209,0.699677,0.107643,13.333375,
4,4,,d3-1.fcs, - - - 3,99.199744,0.704225,0.085361,10.810855,
4,4,,d3-2.fcs, - - - 3,99.033355,0.966645,0.04249,4.210537,
4,4,,d3-3.fcs, - - - 3,99.087199,0.837629,0.107388,11.363605,
4,4,,turbo-1.fcs, - - - -,99.012215,0.987785,0.010621,1.063796,6
4,4,,turbo-2.fcs, - - - -,99.077217,0.890963,0.042427,4.545474,6
4,4,,turbo-3.fcs, - - - -,99.075353,0.90339,0.031884,3.409054,6
4,4,,NT-1.fcs, - - - -,99.142551,0.857449,0.021436,2.438999,6
4,4,,NT-2.fcs, - - - -,99.046105,0.985692,0.010599,1.063846,6
4,4,,NT-3.fcs, - - - -,99.021172,0.946909,0.042558,4.301104,6
